Recipe,Multiplier
space-science-pack,300.0
nv-center,82.87512365663966
pi-josephson-junction,3.4549297552470514e-05
quantum-dots,0.02084926273864962
quantum-vortex-storage-system,0.0018857406377638516
var-josephson-junction,0.47338470991913095
milfe,8.241209369751784e-06
mechanical-parts-04,0.013052456251699462
metastable-quasicrystal,0.0063046386486944155
u237-pu238,3.136154531208772e-05
sc-engine,4.716671851273963e-05
full-render-antelope-existential,0.08477779538150644
intelligent-unit,2.3238992651932455
liquid-helium,0.0012570306735602262
vacuum,0.6959475351303358
full-render-antelope,0.0003019541455491439
pa-diamond,0.000806231521625567
mqdc,4.484098856979136e-07
paramagnetic-material,0.006739761385620991
parametric-oscilator,0.006061685127554354
diamagnetic-material,7.718208843752852
harmonic-absorber,0.00018974488745291516
th-oxide,0.18785031779650516
conductive-sheet,0.007555919628688973
time-crystal,0.10591422157815793
phosphate-glass,5.450582351104361e-06
cooling-system,0.000767397302443012
superconductor,0.03126230166711632
carbon-nanotube,2.21091979620026
heavy-fermion,0.0021804940176309837
nano-wires,9.870483463202268
colloidal-silica,20.08636153622168
silicon-wafer,0.010843740141844938
phosphoric-acid,0.0011267515157023045
boric-acid,0.00045992947283676457
etching,0.0019960492282812673
bose-einstein-superfluid,1.626485360536111e-05
biopolymer-2,8.140541290687014e-05
volumetric-capacitor,0.03765264943975903
photonic-crystal,4.850388261941857e-05
cf,0.004125652315032945
graphene-roll,0.010591720877358188
hotair-crco-alloy,0.13086132168491268
nanocrystaline-core,0.001322892700997868
nxag-matrix,4.680216785812018e-06
niobium-plate,4.2906313711476016e-08
gd-metal,0.0017738004131986327
iron-nanoparticles,0.0001799186703969275
advanced-circuit,0.002077311856778798
aramid,0.19430818990873372
honey-to-ethanol,3.5473331037959615e-05
nano-mesh,0.033197004422455705
mechanical-parts-03,5.8300837587587374e-06
hotair-nxzngd,0.04398243485818774
brake-mk04,154.11468073678768
electronics-mk04,0.011469291916070693
gearbox-mk04,0.0075593707476004956
hydraulic-system-mk02,0.0007492237428083902
hotair-shaft-mk04,5.6409746251754986e-05
utility-box-mk04,0.04851364602230715
hotair-steel-20,0.0003329049460148404
low-distillate-to-grease,0.01155290925109243
simik-lead,0.6106391684265738
mositial-nx,0.08619286712850796
photon-deposited-quartz,0.8065546408876731
quasicrystal,0.012791556012912325
denatured-seismite-2-80-20,0.010483502005085937
ex-ski-sim,0.1304435165832141
u238-pu239,25.632126259168555
antimatter-fusion,0.004350644386388943
optical-fiber,0.0001471213425111266
air-duct,0.9278275984229948
cryocooler,0.0018494840103988129
cryostat,1.1759018376103054
fan,0.11397730097420453
magnetic-ring,0.000564739705800416
rotor-m,0.006767963056056061
sc-stator,3.1486657751881874e-05
small-parts-03,0.00022230726155566708
hotair-super-steel,0.20347732294625503
caged-antelope-7-5th-dimension,0.11998428178814056
quantum-battery-recharge,0.0003650602022991875
photonic-chip,3.6312169825685423
biofet,0.16664222782916768
processing-unit,3.0785052805292925e-05
csle-diode,7.949275979082839e-05
fault-current-inductor,8.725099573799564e-06
kondo-processor,3.9767734435788e-08
nanochip,1.1936074028411665e-06
paradiamatic-resistor,4.5182266827199494e-06
pcb4,0.06737966671801172
supercapacitor,0.004611063295649542
hotair-solder,1.0714369986038591e-05
ralesia-4-hydrogen-burn,7.503851149277963
high-grade-alumina,0.001896728296739471
gasoline,0.0001572065963553682
quantum-dots-folding-3,0.8066775251223501
class-diamond,4.998318901467924e-05
simik-gold,4.426267949494351e-05
biopolymer,0.00010512675638362007
crco-alloy,0.0024192957910534104
pa-niobium,0.8782289850300813
aramid-2,0.01257592383994234
nxzngd,1.5952765251545877
steel-plate,0.3045639232554285
grease,0.00035974576118297485
dt-he3,0.003410929896530878
kovarex-enrichment-process,0.06905332261580746
super-steel,0.00026372853139446377
caged-antelope-7,0.03932346694407785
solder-0,0.009097129863119554
ralesia-3-hydrogen-burn,0.10716472858063947
extract-methane-from-coalbed-2,0.0010904067598468258
bhodos-ur-3,0.5392522926207203
graphite,38.079729646184994
Phadai-Dance-Dance-Revolution-4-piezoelectric,0.3936937316707304
quantum-well,2.510566106789777e-05
eg-si,29.013424219464923
gaas,9.023962016283073e-05
purex-antimony-void,4.417034061356171e-06
alag-grid,1.8918375753887136e-05
ingaas,0.006479559961877155
ingap,0.0003606211493405425
clean-glass-sheet,0.016997943569749797
heavy-n,0.0002634435451697348
processor-core,0.00019671488548614937
supercapacitor-shell,0.06541588110686088
chromium-01,0.5687029204992231
py-sawblade-module-mk04,0.00035690074428710244
myoglobin,0.000548985787432964
nylon,0.0015873827624564238
hotair-aluminium-plate-3,0.05658388214285162
hotair-lens,0.010688400892069221
control-unit,1.2064644437767839e-05
nanofibrils-xyhiphoe,0.002013994081850024
yag-laser-module,0.0012474635161989532
simik-niobium,0.0011651755319057853
re-magnet,0.03151206278970141
rayon,0.00039760279777841624
pyrolytic-carbon,0.3834484601638985
hotair-lead-plate-3,1.7358100770069887e-07
hotair-copper-plate-1,9.121002763717783e-05
hotair-super-alloy,0.6787404040750882
cottongut-science-prod-seeds-80-20,0.001939702590983853
zno-nanoparticles,0.00025501428045780614
aerogel,0.06434483965252272
hyperelastic-material,4.266819724758439e-05
filtration-media-4,0.00018026860838795831
hotair-flask-3,8.386154536719933e-07
th-oxalate,0.0042113072889569435
ammonia2,0.03706261353407677
hotair-nexelit-plate-3,8.961793309551642e-06
silver-plate-2,0.001657503476785003
sand-classification,0.031065779923926423
sodium-sulfate,5.675713521007634e-07
acetylene,5.148904346562795e-05
kevlar-2,0.0028530153807587787
science-coating,0.0002761250784374732
path-3-advanced-recipe,0.001166677890268343
nylon-parts,0.4997042731248151
small-parts-02,0.0006397206875941679
duralumin-2,0.0002936259998354105
hotair-stainless-steel,0.0013345583723337804
tin-pulp-02,2.39376640341553e-07
liquid-nitrogen,0.017687574405947305
biobattery,0.003042440416482158
simik-zinc,0.010288273329707836
sc-substrate,0.0005964958357770553
hotair-gold-plate,0.0005385761697886157
nbti-alloy-2,0.006741046738316646
vpulp-precip,1.0188965307202555
nenbit-matrix,0.00031946619743964533
carbon-dust,5.1546668327921434e-06
btx-to-methane,1.4906490375438415e-07
sand-casting,0.00037989524504821755
reo,2.070456791814861e-05
fuelrod-mk01-1,0.023183105460131352
sc-wire,0.000867969870099984
pa-silicon,0.024166669488629968
silica-powder,1.0514347544637168
plastics-mk03,0.0016270905697182117
sponge-iron,3.0179624688345225e-05
log-wood-fast,0.01893466322929557
phosphorous-acid,170.23856433869656
boron,0.0003283805803492079
path-1-advanced-recipe,0.08636542528815297
sc-unit,0.0001898834591481018
tholin-to-deuterium,1.6240190499259332e-06
simik-silver,0.0044776022534558655
sporopollenin,0.0004492304478540922
urea2,1789.7956136645007
bacteria-2,1.029893272663178e-08
breed-fish-egg-4-doused,0.0006526760046884766
lithium-chloride,0.0020071079469379132
hotair-molten-glass,6.447808236235387e-06
animal-reflectors,4.971556034613314e-06
inverse-opal,0.005790541384058073
dry-cf,1244.5229612023852
epoxy2,0.0020865480083091404
biofilm-3,0.0031063471598478235
graphene-sheet,7.02688217401501e-05
borax-washing,0.155517543887225
cobalt-nx,0.002026922117532402
petroleum-gas2,3.945147327285013e-05
hot-air-3,0.6563244318024136
pa-boron,1.5164829729180098
hotair-iron-plate-1,0.10018080091096977
simik-nexelit,3.280333280524966e-05
niobium-oxide,0.2614626997348907
nisi,0.16202876237432914
gd-oxide,0.06530833018671518
hotair-casting-lead-container,0.019241084150434178
dodecylamine,1.640877675946731e-05
battery-mk01,0.0013320274742770863
electronic-circuit-2,4.627984118845763e-07
diode,0.0023350546883110696
mukmoux-calf-4-microchip,0.06674140313768612
resistor2,3.354836602038817e-05
transistor,0.22180787845806352
capacitor2,2.2814681134475223e-05
inductor2,0.0006671019661712623
mosfet,0.0004792858176438036
pcb2,0.07258489084749836
pa-molybdenum,0.048891356496522535
hotair-titanium-plate-3,0.0030360297649442663
py-sodium-hydroxide,0.015217287478353825
tpa,0.012558134184544836
honey-comb-buffed,2.7197638111652677e-05
manure-bacteria-fish,0.7722358624804352
rpc-mesh,0.0037740779204688633
core-shell,7.656269783806008e-09
full-render-simik-music,3.4980896857868726e-05
acrylic,1.167674312218557e-05
mechanical-parts-02,2.9335564392129913e-06
brake-mk03,0.00015839605134640943
electronics-mk03,3.536183443405993e-06
gearbox-mk03,0.00034340367299786094
hydraulic-system-mk01,0.00010228677974033736
hotair-shaft-mk03,0.008543592504125634
utility-box-mk03,1.76357457133792
tin-concentrate-3,0.004312400053474091
molten-nxzngd,0.0004245028512922205
low-density-structure,2.49370830264838e-06
nxsb-alloy,4.195650045202442e-06
nbalti,22.82486901863335
ceramic-2,0.0018830650808923273
agal-alloy-2,9.501072542169252e-07
eva,1.6174338658762222e-05
format-neuromorphic-chip,0.2797016772961443
inductor3,0.0012793622272067571
boron-carbide,0.00017796830301535782
lithium,0.00041762334704168407
belt,0.0004719267891137811
py-check-valve,7.944151413161462e-06
pump,1.040989088423783
hotair-casting-sticks,2.6732508936271773e-08
rubber-03,0.08338204481249527
crmoni,0.07203978665702647
hotair-mold,9.071710849177007e-05
molten-steel,5.7897979101678414e-05
sncr-alloy-2,1.6571449425254313e-07
oil-refining,6.216551929866428e-05
simik-nickel,8.3364975070131e-06
bio-sample-icd,0.002719185813122917
purest-nitrogen-void,1.1718252876854879e-07
flo,0.0003063570011931142
rhodamine-b,0.002228848471469502
allylamine,0.2890117012784594
high-grade-quartz-pulp,6.645687963319342e-05
chemistry,10.24146011071751
metallic-glass,0.0006307800791561687
bio-sample01,0.2523351637671809
lithium-hydroxide,0.087686120343028
hyaline,0.012118460121799127
cdna,0.0037485845010714206
zymogens,0.7339020619766828
dhilmos-egg-4,1.0937724425239255
xeno-egg-4,0.003273330776054426
caged-cottongut-4-cannibal,0.0010658896465871913
print-adrenal-immunosupressants,0.037176746758811725
mutant-enzymes,9.206313585453412e-06
formic-acid,0.028657188566676043
simik-improved-12,2.878171193987512
blanket,4.990385815841151e-08
divertor,0.02417457027291148
wall-shield,0.0018136504928023402
antimatter,0.10160454546007883
full-render-trit-music,0.0005713215448504485
nbfe-coating,1.1403786254295611
hotair-casting-niobium-pipe,4.132369314559017e-07
ernico-2,0.0009405541751048488
vacuum-pump-mk01,0.04550021754175628
czts-plate,3.540342919152619
